,Order Id,Postal Code,cost price,List Price,Quantity,Discount Percent,Total Sales,Year,Month
Order Id,1.0,0.009080934446984129,-0.0019407159488826812,-0.0013801695292194598,-0.0047443461470075094,-0.00015864420729656562,-0.0009259534240866628,-0.003388877302247377,-0.0006567300620394709
Postal Code,0.009080934446984129,1.0,-0.025019473638862588,-0.02517538781082328,0.008708039798947622,-0.009364785790395846,-0.023779474073576466,-0.0057681349770027715,-0.004285148294983122
cost price,-0.0019407159488826812,-0.025019473638862588,1.0,0.9981185570266569,0.19165576011209076,0.00446988882960111,0.9087757556245315,0.006854286923280857,0.00043376891190947557
List Price,-0.0013801695292194598,-0.02517538781082328,0.9981185570266569,1.0,0.19032622723692907,0.0043952189061256955,0.9138990259510378,0.0063972529247674536,0.0002665658097200006
Quantity,-0.0047443461470075094,0.008708039798947622,0.19165576011209076,0.19032622723692907,1.0,0.0129717316857905,0.3269908496804285,0.000846672951461954,0.006912236018576924
Discount Percent,-0.00015864420729656562,-0.009364785790395846,0.00446988882960111,0.0043952189061256955,0.0129717316857905,1.0,0.013095003464352497,0.011261284744607273,-0.0017887009982528771
Total Sales,-0.0009259534240866628,-0.023779474073576466,0.9087757556245315,0.9138990259510378,0.3269908496804285,0.013095003464352497,1.0,0.005231291442811544,9.927648982231838e-05
Year,-0.003388877302247377,-0.0057681349770027715,0.006854286923280857,0.0063972529247674536,0.000846672951461954,0.011261284744607273,0.005231291442811544,1.0,0.005549995668202309
Month,-0.0006567300620394709,-0.004285148294983122,0.00043376891190947557,0.0002665658097200006,0.006912236018576924,-0.0017887009982528771,9.927648982231838e-05,0.005549995668202309,1.0
